_id,accountId,projectId,date,userId,roleId,teamId,isDeleted,userType,customerId,allocatedMins,softAllocatedMins,hardAllocatedMins,estimatedRevenue,actualRevenue,estimatedMargin,actualMargin,estimatedCost,actualCost,actualProfit,estimatedProfit,estimatedRevenueInProjectCurrency,actualRevenueInProjectCurrency,estimatedMarginInProjectCurrency,actualMarginInProjectCurrency,estimatedCostInProjectCurrency,actualCostInProjectCurrency,actualProfitInProjectCurrency,estimatedProfitInProjectCurrency,billableMinutes,nonBillableMinutes,costRate,billRate,trackedMinutes,utilisation,billableUtilisation,plannedUtilisation,capacityInMinutes,financeType,version,primaryTableMaxVersion._id,primaryTableMaxVersion.version
2024-07-01_325224_USER_ID_75462,16946,325224,07-01-2024,0,75462,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803951057592,2024-07-01_325224_USER_ID_75462,1735232803951057592
2024-07-02_325224_284088_75458,16946,325224,07-02-2024,284088,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803951286596,2024-07-02_325224_284088_75458,1735232803951286596
2024-07-02_325224_USER_ID_75458,16946,325224,07-02-2024,0,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803951518591,2024-07-02_325224_USER_ID_75458,1735232803951518591
2024-07-02_325224_USER_ID_75460,16946,325224,07-02-2024,0,75460,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232803951759561,2024-07-02_325224_USER_ID_75460,1735232803951759561
2024-07-02_325224_USER_ID_75462,16946,325224,07-02-2024,0,75462,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232807969147731,2024-07-02_325224_USER_ID_75462,1735232807969147731
2024-07-03_325224_284088_75458,16946,325224,07-03-2024,284088,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232807969379970,2024-07-03_325224_284088_75458,1735232807969379970
2024-07-03_325224_USER_ID_75458,16946,325224,07-03-2024,0,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232807969614447,2024-07-03_325224_USER_ID_75458,1735232807969614447
2024-07-03_325224_USER_ID_75460,16946,325224,07-03-2024,0,75460,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232807969845472,2024-07-03_325224_USER_ID_75460,1735232807969845472
2024-07-03_325224_USER_ID_75462,16946,325224,07-03-2024,0,75462,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232807970078988,2024-07-03_325224_USER_ID_75462,1735232807970078988
2024-07-03_327243_275181_75461,16946,327243,07-03-2024,275181,75461,0,0,,195659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,140,0.0,0,0.0,0.0,0.0,480,TIME_AND_MATERIAL,1733637355171458170,2024-07-03_327243_275181_75461,1733637355171458170
2024-07-04_325224_284088_75458,16946,325224,07-04-2024,284088,75458,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,,1735232807970308572,2024-07-04_325224_284088_75458,1735232807970308572
