"projectMembershipId","projectId","permissionSetId","userId","accountId","active","isDeleted","sourceType","version","isDeafult","_id","updatedAt","joinedAt","primaryTableMaxVersion._id","primaryTableMaxVersion.version"
"1485468","336464","201927","297493","16946","1","0","DEFAULT","1743178030530044985","true","1485468","","1722384000000","1485468","1743178030530044985"
"1485475","336464","201927","297494","16946","1","0","DEFAULT","1742554618118644926","true","1485475","","1722384000000","1485475","1742554618118644926"
"1485476","336464","201927","297496","16946","1","0","DEFAULT","1742554618115644852","true","1485476","","1722384000000","1485476","1742554618115644852"
"1485477","336464","201927","297497","16946","1","0","DEFAULT","1743177056274997803","true","1485477","","1722384000000","1485477","1743177056274997803"
"1485469","336464","201927","297498","16946","1","0","DEFAULT","1743176918921881040","true","1485469","","1722384000000","1485469","1743176918921881040"
"1485470","336464","201927","297499","16946","1","0","DEFAULT","1743176982873420062","true","1485470","","1722384000000","1485470","1743176982873420062"
"1485471","336464","201927","297500","16946","1","0","DEFAULT","1743177009174740236","true","1485471","","1722384000000","1485471","1743177009174740236"
"1485478","336465","204282","235382","16946","1","0","DEFAULT","1742554612798033216","true","1485478","","1722384000000","1485478","1742554612798033216"
"1485479","336465","204282","275181","16946","1","0","DEFAULT","1742554623224592732","true","1485479","","1722384000000","1485479","1742554623224592732"
"1409725","336465","201926","279501","16946","1","0","DEFAULT","1742554576634866586","true","1409725","","1719878400000","1409725","1742554576634866586"
"1444564","336465","201926","293237","16946","1","0","DEFAULT","1743176866161966584","true","1444564","","1721001600000","1444564","1743176866161966584"
"1485488","336465","221206","297488","16946","1","0","DEFAULT","1743176941198216625","true","1485488","","1722384000000","1485488","1743176941198216625"
"1485480","336465","204282","297489","16946","1","0","DEFAULT","1742554612800011360","true","1485480","","1722384000000","1485480","1742554612800011360"
"1485489","336465","201927","297490","16946","1","0","DEFAULT","1743177681969706863","true","1485489","","1722384000000","1485489","1743177681969706863"
"1485483","336465","201927","297491","16946","1","0","DEFAULT","1742554623219798635","true","1485483","","1722384000000","1485483","1742554623219798635"
"1485490","336465","201927","297492","16946","1","0","DEFAULT","1742554618119872769","true","1485490","","1722384000000","1485490","1742554618119872769"
